Workout Type,Start,End,Duration,Active Energy (kcal),Resting Energy (kcal),Intensity (kcal/hr·kg),Max. Heart Rate (bpm),Avg. Heart Rate (bpm),Distance (km),Max. Speed (km/hr),Avg. Speed (km/hr),Flights Climbed,Elevation Ascended (m),Elevation Descended (m),Step Count,Step Cadence (spm),Swim Stroke Count,Swim Stroke Cadence (spm),Lap Length (km),Stroke Style,SWOLF Score,Water Salinity,Temperature (ºC),Humidity (%),Location,
Run,2024-05-11 11:28,2024-05-11 13:59,02:30:15,942.0,143.2365555618254,0.0,0.0,0.0,11.570806763900434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,
Outdoor Walk,2024-05-11 11:36,2024-05-11 11:46,00:10:10,20.245559636797157,6.783410057595573,0.0,0.0,0.0,0.6125094049937324,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,16.279999999997642,76.0,Outdoor,
Outdoor Run,2024-05-06 12:26,2024-05-06 14:23,01:57:01,270.2899347743135,132.77917742872927,3.558999212815649,0.0,0.0,5.230384786062932,0.0,0.0,0.0,29.21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,16.80999999999767,67.0,Outdoor,
Badminton,2024-04-21 13:54,2024-04-21 16:00,02:06:41,892.318655937445,143.19879134607666,8.865201698428843,0.0,0.0,4.2897490150261435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,16.50999999999766,62.0,,
Boxing,2024-04-15 22:49,2024-04-15 23:33,00:43:49,225.403940545846,43.855000000000004,5.877929510453747,0.0,0.0,2.3755061600440532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,14.769999999997651,82.0,,
Outdoor Run,2024-04-14 18:09,2024-04-14 18:45,00:35:45,187.9916851462775,36.51015009470217,7.030376071242519,159.0,137.16,4.0286656711459035,0.0,0.0,0.0,7.12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,17.839999999997644,66.0,Outdoor,
Boxing,2024-04-11 19:12,2024-04-11 19:39,00:27:17,132.95195596133158,26.820614779697966,6.52836085455533,0.0,0.0,1.7625522013906156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,15.659999999997694,67.0,,
Badminton,2024-04-05 17:42,2024-04-05 18:32,00:50:04,368.71200000000243,59.9615002887084,9.291542838491301,0.0,0.0,1.8748070787761826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,20.76999999999765,63.0,,
Run,2024-04-05 13:29,2024-04-05 14:43,01:14:53,637.0,87.95573919258105,0.0,0.0,0.0,4.82057753583093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,
Hiking,2024-04-05 13:29,2024-04-05 14:43,01:14:33,182.3334076149637,82.3509490288915,3.8440285020718297,0.0,0.0,2.990162784321874,0.0,0.0,0.0,160.13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,19.079999999997654,66.0,,
Hiking,2024-03-23 12:05,2024-03-23 16:43,04:38:13,667.9453934503816,322.32486649295083,3.766996982541945,0.0,0.0,11.069463197279255,0.0,0.0,0.0,309.29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,16.70999999999765,65.0,,
Run,2024-03-23 15:36,2024-03-23 16:33,00:56:58,456.0,66.50000000000006,0.0,0.0,0.0,2.8091117308230142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,
Hiking,2024-03-16 09:26,2024-03-16 13:39,04:13:02,510.89000000001647,292.9845198259495,3.339473306084471,112.0,103.47368421052632,8.59224848981689,0.0,0.0,0.0,395.47,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,16.819999999997663,72.0,,
Run,2024-03-16 09:27,2024-03-16 13:37,04:09:57,1795.0,289.2000000000002,0.0,0.0,0.0,9.223706537930267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,
Hiking,2024-02-24 10:51,2024-02-24 14:56,03:37:14,471.45054109158184,282.03681672162094,3.5332069091941785,108.0,100.54166666666667,6.935152066960746,0.0,0.0,0.0,219.02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,17.109999999997683,64.0,,
Outdoor Walk,2024-02-20 16:55,2024-02-20 18:43,01:47:46,191.4010886634024,98.8621717500096,2.941305933766896,99.0,90.04166666666667,4.127793076528687,0.0,0.0,0.0,69.29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,30.37999999999755,44.0,Outdoor,
Outdoor Walk,2024-02-17 14:55,2024-02-17 16:42,01:47:10,157.11000000000496,120.99269123781362,2.6614880660389635,0.0,0.0,3.119399310349334,0.0,0.0,0.0,242.42000000000002,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,25.23999999999762,57.99999999999999,Outdoor,
Hiking,2024-02-17 10:48,2024-02-17 13:26,02:38:27,1277.0,162.73091754857936,0.0,0.0,0.0,8.124963679645667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,
Outdoor Walk,2024-02-17 10:47,2024-02-17 13:26,02:39:10,428.39205450593715,162.92071358761015,4.247604465964266,93.0,82.56521739130434,8.285135681459717,0.0,0.0,0.0,222.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,19.089999999997644,74.0,Outdoor,
Hiking,2024-02-17 10:44,2024-02-17 10:47,00:02:26,13.0,0.55,0.0,0.0,0.0,0.08638150671495849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,
Hiking,2024-02-17 10:38,2024-02-17 10:47,00:09:05,12.486037522297169,5.150000000000002,2.6028285538555846,0.0,0.0,0.4320508239031842,0.0,0.0,0.0,22.48,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,17.579999999997654,79.0,,
Indoor Cycling,2024-02-12 21:39,2024-02-12 22:03,00:23:35,156.7263237771001,22.305721700438582,8.668535689207799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,23.349999999997635,69.0,Indoor,
Hiking,2024-02-10 08:46,2024-02-10 12:24,03:38:01,605.0269999999886,249.30694088416124,4.297407035296536,0.0,0.0,10.036263817749452,0.0,0.0,0.0,424.12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,
Hiking,2024-02-03 10:07,2024-02-03 13:58,03:51:34,737.4275342251598,264.0520000000001,4.768651231118415,0.0,0.0,13.655264362115803,0.0,0.0,0.0,378.13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,19.109999999997683,57.99999999999999,,
Outdoor Walk,2024-01-24 16:18,2024-01-24 18:30,02:12:02,179.84271881739477,138.15600000000006,2.465459091196263,0.0,0.0,3.534982852210872,0.0,0.0,0.0,65.02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,26.18999999999761,55.00000000000001,Outdoor,
Indoor Cycling,2024-01-23 17:29,2024-01-23 18:03,00:33:34,228.33100000000013,39.58355179991141,8.809919110145342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,29.959999999997535,42.0,Indoor,
